index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
103,ATL,AMS,17:35:00,6,14:35:00,08:10:00,0,VS3932,VS,Virgin Atlantic,106112,226253,625056
104,ATL,AMS,17:35:00,1,14:35:00,08:10:00,2,VS3932,VS,Virgin Atlantic,106112,219544,
105,ATL,AMS,15:20:00,6,14:35:00,05:55:00,0,VS4054,VS,Virgin Atlantic,106112,226253,625056
106,ATL,AMS,20:15:00,4,14:20:00,10:35:00,5,VS3948,VS,Virgin Atlantic,111489,,
107,ATL,AMS,15:20:00,4,14:35:00,05:55:00,5,VS4054,VS,Virgin Atlantic,111489,,
108,ATL,AMS,17:35:00,4,14:35:00,08:10:00,5,VS3932,VS,Virgin Atlantic,111489,,
109,ATL,AMS,22:40:00,6,14:15:00,12:55:00,0,DL9375,DL,Delta Airlines,162960,,
110,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,DL74,DL,Delta Airlines,162960,226253,
111,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,VS3948,VS,Virgin Atlantic,162960,225034,
112,ATL,AMS,17:35:00,0,14:35:00,08:10:00,1,VS3932,VS,Virgin Atlantic,162960,225034,625056
113,ATL,AMS,15:20:00,0,14:35:00,05:55:00,1,VS4054,VS,Virgin Atlantic,162960,225034,
114,ATL,AMS,15:20:00,2,14:35:00,05:55:00,3,VS4054,VS,Virgin Atlantic,162960,227156,
115,ATL,AMS,22:40:00,0,14:15:00,12:55:00,1,DL9375,DL,Delta Airlines,163568,,
116,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,DL74,DL,Delta Airlines,163568,227156,620812
117,ATL,AMS,20:15:00,2,14:20:00,10:35:00,3,VS3948,VS,Virgin Atlantic,163568,227156,
118,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,DL74,DL,Delta Airlines,163568,,
119,ATL,AMS,17:35:00,2,14:35:00,08:10:00,3,VS3932,VS,Virgin Atlantic,163568,227156,
120,ATL,AMS,15:20:00,1,14:35:00,05:55:00,2,DL70,DL,Delta Airlines,163568,,
121,ATL,AMS,17:35:00,0,14:35:00,08:10:00,1,DL72,DL,Delta Airlines,163568,227156,
122,ATL,AMS,15:20:00,0,14:35:00,05:55:00,1,DL70,DL,Delta Airlines,163568,227156,620812
123,ATL,AMS,17:35:00,6,14:35:00,08:10:00,0,DL72,DL,Delta Airlines,163568,226253,
124,ATL,AMS,15:20:00,2,14:35:00,05:55:00,3,DL70,DL,Delta Airlines,163568,227156,532900
125,ATL,DFW,08:00:00,5,01:22:00,09:22:00,5,NK233,NK,Spirit Airlines,7941,,
126,ATL,DFW,08:00:00,4,01:22:00,09:22:00,4,NK233,NK,Spirit Airlines,7941,,
127,ATL,DFW,13:46:00,5,01:18:00,15:04:00,5,F91551,F9,Frontier Airlines,7978,,
128,ATL,DFW,08:00:00,1,01:22:00,09:22:00,1,NK233,NK,Spirit Airlines,10631,,
129,ATL,DFW,08:00:00,2,01:22:00,09:22:00,2,NK233,NK,Spirit Airlines,10631,,
130,ATL,DFW,08:00:00,3,01:22:00,09:22:00,3,NK233,NK,Spirit Airlines,10631,,
131,ATL,DFW,14:31:00,2,01:22:00,15:53:00,2,F91551,F9,Frontier Airlines,10667,,
132,ATL,DFW,14:27:00,4,01:22:00,15:49:00,4,F91551,F9,Frontier Airlines,12101,,
133,ATL,DFW,14:19:00,0,01:22:00,15:41:00,0,F91551,F9,Frontier Airlines,12818,,
134,ATL,DFW,08:00:00,0,01:22:00,09:22:00,0,NK233,NK,Spirit Airlines,14215,,
135,ATL,DFW,08:00:00,6,01:22:00,09:22:00,6,NK233,NK,Spirit Airlines,14215,,
136,ATL,DFW,22:45:00,4,01:13:00,23:58:00,4,DL1002,DL,Delta Airlines,16402,,
137,ATL,DFW,22:45:00,5,01:13:00,23:58:00,5,DL1002,DL,Delta Airlines,16458,,
138,ATL,DFW,12:32:00,5,01:17:00,13:49:00,5,AA982,AA,American Airlines,16458,,
139,ATL,DFW,10:22:00,5,01:18:00,11:40:00,5,AA2778,AA,American Airlines,16458,,
140,ATL,DFW,10:22:00,6,01:18:00,11:40:00,6,AA2778,AA,American Airlines,16458,,
141,ATL,DFW,08:00:00,5,01:19:00,09:19:00,5,AA1567,AA,American Airlines,16458,,
142,ATL,DFW,14:28:00,5,01:20:00,15:48:00,5,AA980,AA,American Airlines,16458,,
143,ATL,FRA,17:45:00,0,14:55:00,08:40:00,1,VS3849,VS,Virgin Atlantic,107990,224697,
144,ATL,FRA,17:45:00,2,14:55:00,08:40:00,3,VS3849,VS,Virgin Atlantic,107990,224697,625056
145,ATL,FRA,17:45:00,3,14:55:00,08:40:00,4,VS3849,VS,Virgin Atlantic,107990,,1348021
146,ATL,FRA,17:45:00,1,14:55:00,08:40:00,2,VS3849,VS,Virgin Atlantic,107990,226562,732668
147,ATL,FRA,17:45:00,5,14:55:00,08:40:00,6,VS3849,VS,Virgin Atlantic,113462,,
148,ATL,FRA,17:45:00,6,14:55:00,08:40:00,0,VS3849,VS,Virgin Atlantic,113462,,1134566
149,ATL,FRA,16:05:00,6,14:55:00,07:00:00,0,UA8830,UA,United Airlines,164360,198872,
150,ATL,FRA,16:05:00,5,14:55:00,07:00:00,6,UA8830,UA,United Airlines,164940,,618416
151,ATL,FRA,16:05:00,6,14:55:00,07:00:00,0,LH445,LH,Lufthansa,165004,197279,794661
152,ATL,FRA,16:05:00,5,14:55:00,07:00:00,6,LH445,LH,Lufthansa,165004,197279,617811
153,ATL,FRA,16:05:00,2,14:55:00,07:00:00,3,UA8830,UA,United Airlines,166399,,
154,ATL,FRA,16:05:00,0,14:55:00,07:00:00,1,UA8830,UA,United Airlines,166399,240032,745400
155,ATL,FRA,16:05:00,3,14:55:00,07:00:00,4,UA8830,UA,United Airlines,166399,184423,
156,ATL,FRA,16:05:00,2,14:55:00,07:00:00,3,LH445,LH,Lufthansa,166463,243537,879173
157,ATL,FRA,17:45:00,3,14:55:00,08:40:00,4,DL14,DL,Delta Airlines,166463,,1343778
158,ATL,FRA,17:45:00,2,14:55:00,08:40:00,3,DL14,DL,Delta Airlines,166463,,620812
159,ATL,FRA,17:45:00,0,14:55:00,08:40:00,1,DL14,DL,Delta Airlines,166463,,800569
160,ATL,FRA,17:45:00,1,14:55:00,08:40:00,2,DL14,DL,Delta Airlines,166463,226562,
161,ATL,FRA,16:05:00,0,14:55:00,07:00:00,1,LH445,LH,Lufthansa,166463,243537,
162,ATL,FRA,16:05:00,3,14:55:00,07:00:00,4,LH445,LH,Lufthansa,167103,185575,731053
163,ATL,FRA,17:45:00,4,14:55:00,08:40:00,5,VS3849,VS,Virgin Atlantic,170392,,847856
164,ATL,FRA,17:45:00,4,14:55:00,08:40:00,5,DL14,DL,Delta Airlines,171024,,843613
165,ATL,FRA,17:45:00,5,14:55:00,08:40:00,6,DL14,DL,Delta Airlines,171024,,
166,ATL,FRA,17:45:00,6,14:55:00,08:40:00,0,DL14,DL,Delta Airlines,171024,461913,1180391
167,ATL,IST,22:10:00,2,17:30:00,15:40:00,3,TK32,TK,Turkish Airlines,116648,,312122
168,ATL,IST,22:10:00,0,17:30:00,15:40:00,1,TK32,TK,Turkish Airlines,116648,,309656
169,ATL,IST,22:10:00,1,17:30:00,15:40:00,2,TK32,TK,Turkish Airlines,116648,,309656
170,ATL,IST,22:10:00,3,17:30:00,15:40:00,4,TK32,TK,Turkish Airlines,120170,,529508
171,ATL,IST,22:10:00,6,17:30:00,15:40:00,0,TK32,TK,Turkish Airlines,120852,,483335
172,ATL,IST,22:10:00,5,17:30:00,15:40:00,6,TK32,TK,Turkish Airlines,121051,,360683
173,ATL,IST,22:10:00,4,17:30:00,15:40:00,5,TK32,TK,Turkish Airlines,121051,,322238
174,ATL,DEN,06:55:00,6,01:20:00,08:15:00,6,F9421,F9,Frontier Airlines,18245,,
175,ATL,DEN,21:03:00,6,01:27:00,22:30:00,6,F9419,F9,Frontier Airlines,18245,,
176,ATL,DEN,07:05:00,5,01:15:00,08:20:00,5,F9421,F9,Frontier Airlines,19248,,
177,ATL,DEN,06:35:00,3,01:20:00,07:55:00,3,F9421,F9,Frontier Airlines,19248,,
178,ATL,DEN,06:51:00,4,01:20:00,08:11:00,4,F9421,F9,Frontier Airlines,19248,,
179,ATL,DEN,21:04:00,4,01:27:00,22:31:00,4,F9419,F9,Frontier Airlines,19248,,
180,ATL,DEN,21:42:00,5,01:27:00,23:09:00,5,F9419,F9,Frontier Airlines,19248,,
181,ATL,DEN,20:48:00,3,01:28:00,22:16:00,3,F9419,F9,Frontier Airlines,19248,,
182,ATL,DEN,07:05:00,1,01:15:00,08:20:00,1,F9421,F9,Frontier Airlines,21619,,
183,ATL,DEN,06:57:00,2,01:20:00,08:17:00,2,F9421,F9,Frontier Airlines,21619,,
184,ATL,DEN,06:55:00,0,01:20:00,08:15:00,0,F9421,F9,Frontier Airlines,21619,,
185,ATL,DEN,21:08:00,1,01:27:00,22:35:00,1,F9419,F9,Frontier Airlines,21619,,
186,ATL,DEN,21:09:00,2,01:27:00,22:36:00,2,F9419,F9,Frontier Airlines,21619,,
187,ATL,DEN,21:08:00,0,01:27:00,22:35:00,0,F9419,F9,Frontier Airlines,21619,,
188,ATL,DEN,08:31:00,5,01:20:00,09:51:00,5,UA340,UA,United Airlines,23636,30308,
189,ATL,DEN,22:36:00,4,01:13:00,23:49:00,4,DL1474,DL,Delta Airlines,23676,38883,
190,ATL,DEN,20:50:00,6,01:13:00,22:03:00,6,DL511,DL,Delta Airlines,23676,34639,
191,ATL,DEN,22:36:00,6,01:13:00,23:49:00,6,DL1474,DL,Delta Airlines,23676,38034,
192,ATL,DEN,20:50:00,4,01:13:00,22:03:00,4,DL511,DL,Delta Airlines,23676,38883,
193,ATL,DEN,20:50:00,5,01:14:00,22:04:00,5,DL511,DL,Delta Airlines,23682,35576,
194,ATL,DEN,12:35:00,1,01:03:00,13:38:00,1,DL846,DL,Delta Airlines,25971,,
195,ATL,DEN,08:10:00,0,01:07:00,09:17:00,0,DL818,DL,Delta Airlines,25971,,
196,ATL,DEN,20:50:00,1,01:13:00,22:03:00,1,DL511,DL,Delta Airlines,25971,,
197,ATL,DEN,20:50:00,0,01:13:00,22:03:00,0,DL511,DL,Delta Airlines,25971,,
198,ATL,DEN,22:36:00,0,01:13:00,23:49:00,0,DL1474,DL,Delta Airlines,25971,37780,
199,ATL,JFK,07:14:00,4,02:15:00,09:29:00,4,B6920,B6,Jetblue Airways,8830,,
200,ATL,JFK,17:04:00,0,02:25:00,19:29:00,0,B6720,B6,Jetblue Airways,11519,,
201,ATL,JFK,07:14:00,2,02:15:00,09:29:00,2,B6920,B6,Jetblue Airways,13312,,
202,ATL,JFK,07:14:00,1,02:15:00,09:29:00,1,B6920,B6,Jetblue Airways,13312,,
203,ATL,JFK,12:31:00,2,02:22:00,14:53:00,2,B6520,B6,Jetblue Airways,13312,,
204,ATL,JFK,19:28:00,1,02:26:00,21:54:00,1,B61320,B6,Jetblue Airways,13312,,
205,ATL,JFK,19:28:00,2,02:26:00,21:54:00,2,B61320,B6,Jetblue Airways,13312,,
206,ATL,JFK,17:04:00,2,02:25:00,19:29:00,2,B6720,B6,Jetblue Airways,14208,,
207,ATL,JFK,12:45:00,2,02:24:00,15:09:00,2,DL847,DL,Delta Airlines,15520,27425,
208,ATL,JFK,14:20:00,2,02:28:00,16:48:00,2,DL917,DL,Delta Airlines,15520,27425,
209,ATL,JFK,21:29:00,1,02:30:00,23:59:00,1,DL517,DL,Delta Airlines,15520,27647,
210,ATL,JFK,21:29:00,2,02:30:00,23:59:00,2,DL517,DL,Delta Airlines,15520,27425,
211,ATL,JFK,08:45:00,1,02:15:00,11:00:00,1,DL733,DL,Delta Airlines,15561,27424,
212,ATL,JFK,10:03:00,1,02:25:00,12:28:00,1,DL2269,DL,Delta Airlines,15561,27647,
213,ATL,JFK,21:29:00,0,02:30:00,23:59:00,0,DL517,DL,Delta Airlines,15561,27425,
214,ATL,JFK,08:45:00,2,02:15:00,11:00:00,2,DL733,DL,Delta Airlines,16458,,
215,ATL,JFK,10:03:00,2,02:25:00,12:28:00,2,DL2269,DL,Delta Airlines,16458,27425,
216,ATL,JFK,07:14:00,1,02:15:00,09:29:00,1,AA9141,AA,American Airlines,16674,,
217,ATL,JFK,19:28:00,2,02:26:00,21:54:00,2,AA9187,AA,American Airlines,16674,,
218,ATL,JFK,19:28:00,1,02:26:00,21:54:00,1,AA9187,AA,American Airlines,16674,,
219,ATL,JFK,21:29:00,5,02:30:00,23:59:00,5,DL517,DL,Delta Airlines,16893,29547,
220,ATL,JFK,19:45:00,5,02:31:00,22:16:00,5,DL860,DL,Delta Airlines,16893,29547,
221,ATL,JFK,18:25:00,5,02:35:00,21:00:00,5,DL526,DL,Delta Airlines,16893,29547,
222,ATL,JFK,18:25:00,4,02:35:00,21:00:00,4,DL526,DL,Delta Airlines,16893,,
223,ATL,JFK,17:04:00,5,02:25:00,19:29:00,5,B6720,B6,Jetblue Airways,16896,,
224,ATL,SFO,22:09:00,6,02:03:00,00:12:00,0,DL710,DL,Delta Airlines,43749,114131,
225,ATL,SFO,12:00:00,5,01:54:00,13:54:00,5,DL1677,DL,Delta Airlines,45326,,
226,ATL,SFO,12:00:00,6,01:54:00,13:54:00,6,DL1677,DL,Delta Airlines,45326,,
227,ATL,SFO,12:00:00,4,01:54:00,13:54:00,4,DL1677,DL,Delta Airlines,45326,,
228,ATL,SFO,08:34:00,5,01:59:00,10:33:00,5,DL715,DL,Delta Airlines,45326,,
229,ATL,SFO,08:34:00,4,01:59:00,10:33:00,4,DL715,DL,Delta Airlines,45326,,
230,ATL,SFO,22:09:00,4,02:03:00,00:12:00,5,DL710,DL,Delta Airlines,45326,62648,
231,ATL,SFO,10:00:00,6,02:03:00,12:03:00,6,DL824,DL,Delta Airlines,45326,118401,
232,ATL,SFO,22:09:00,5,02:03:00,00:12:00,6,DL710,DL,Delta Airlines,45326,,
233,ATL,SFO,10:00:00,4,02:03:00,12:03:00,4,DL824,DL,Delta Airlines,45326,62648,
234,ATL,SFO,10:00:00,5,02:03:00,12:03:00,5,DL824,DL,Delta Airlines,45326,,
235,ATL,SFO,14:50:00,4,02:04:00,16:54:00,4,DL753,DL,Delta Airlines,45326,,
236,ATL,SFO,14:50:00,6,02:04:00,16:54:00,6,DL753,DL,Delta Airlines,45326,,
237,ATL,SFO,19:25:00,4,02:05:00,21:30:00,4,DL1462,DL,Delta Airlines,45326,62648,
238,ATL,SFO,17:10:00,5,02:05:00,19:15:00,5,DL769,DL,Delta Airlines,45326,124045,
239,ATL,SFO,17:10:00,4,02:05:00,19:15:00,4,DL769,DL,Delta Airlines,45326,,
240,ATL,SFO,19:25:00,6,02:05:00,21:30:00,6,DL1462,DL,Delta Airlines,45326,114131,
241,ATL,SFO,17:10:00,6,02:05:00,19:15:00,6,DL769,DL,Delta Airlines,45326,,
242,ATL,SFO,15:25:00,5,02:07:00,17:32:00,5,DL753,DL,Delta Airlines,45326,,
243,ATL,SFO,19:32:00,4,02:13:00,21:45:00,4,UA211,UA,United Airlines,45380,55773,
244,ATL,SFO,19:32:00,5,02:13:00,21:45:00,5,UA211,UA,United Airlines,45438,60017,
245,ATL,SFO,19:32:00,6,02:13:00,21:45:00,6,UA211,UA,United Airlines,46189,56622,
246,ATL,SFO,12:00:00,2,01:54:00,13:54:00,2,DL1677,DL,Delta Airlines,54404,,
247,ATL,SFO,12:00:00,1,01:54:00,13:54:00,1,DL1677,DL,Delta Airlines,54404,,
248,ATL,SFO,08:34:00,0,01:59:00,10:33:00,0,DL715,DL,Delta Airlines,54404,,
249,ATL,MAD,18:10:00,6,14:35:00,08:45:00,0,VS3884,VS,Virgin Atlantic,104234,,
250,ATL,MAD,18:10:00,0,14:35:00,08:45:00,1,VS3884,VS,Virgin Atlantic,104234,,551746
251,ATL,MAD,18:10:00,2,14:35:00,08:45:00,3,VS3884,VS,Virgin Atlantic,104234,,734230
252,ATL,MAD,18:10:00,5,14:35:00,08:45:00,6,VS3884,VS,Virgin Atlantic,109516,,
253,ATL,MAD,18:10:00,1,14:35:00,08:45:00,2,DL108,DL,Delta Airlines,160647,,530527
254,ATL,MAD,18:10:00,0,14:35:00,08:45:00,1,DL108,DL,Delta Airlines,160673,,611701
255,ATL,MAD,18:10:00,2,14:35:00,08:45:00,3,DL108,DL,Delta Airlines,160673,,530527
