,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
30,DEL,BLR,21:40:00,1,02:50:00,00:30:00,2,I51732,I5,AirAsia India,7026,,
31,DEL,BLR,18:45:00,1,02:55:00,21:40:00,1,I5857,I5,AirAsia India,7026,,
32,DEL,BLR,20:30:00,0,02:55:00,23:25:00,0,G8119,G8,Go First,7105,,
33,DEL,BLR,05:50:00,1,02:45:00,08:35:00,1,G8113,G8,Go First,7106,,
34,DEL,BLR,05:50:00,6,02:45:00,08:35:00,6,G8113,G8,Go First,7106,,
35,DEL,BLR,05:50:00,0,02:45:00,08:35:00,0,G8113,G8,Go First,7106,,
36,DEL,BLR,05:50:00,4,02:45:00,08:35:00,4,G8113,G8,Go First,7106,,
37,DEL,BLR,20:30:00,1,02:55:00,23:25:00,1,G8119,G8,Go First,7106,,
38,DEL,BLR,08:10:00,4,02:30:00,10:40:00,4,I5740,I5,AirAsia India,7202,,
39,DEL,BLR,21:40:00,4,02:50:00,00:30:00,5,I51732,I5,AirAsia India,7203,,
40,DEL,BLR,20:00:00,1,02:30:00,22:30:00,1,SG537,SG,SpiceJet,8380,,
41,DEL,BLR,20:30:00,6,02:55:00,23:25:00,6,G8119,G8,Go First,8483,,
42,DEL,BLR,06:05:00,4,02:50:00,08:55:00,4,SG191,SG,SpiceJet,8484,,
43,DEL,BLR,09:35:00,5,02:50:00,12:25:00,5,I51529,I5,AirAsia India,8590,,
44,DEL,BLR,09:35:00,6,02:50:00,12:25:00,6,I51529,I5,AirAsia India,8590,,
45,DEL,BLR,18:45:00,6,02:55:00,21:40:00,6,I5857,I5,AirAsia India,8590,,
46,DEL,BLR,18:45:00,4,02:55:00,21:40:00,4,I5857,I5,AirAsia India,8590,,
47,DEL,BLR,18:45:00,0,02:55:00,21:40:00,0,I5857,I5,AirAsia India,8591,,
48,DEL,BLR,20:30:00,5,02:55:00,23:25:00,5,G8119,G8,Go First,11038,,
49,DEL,MAA,13:45:00,1,02:50:00,16:35:00,1,UK839,UK,Vistara,10462,11891,
50,DEL,MAA,19:55:00,1,02:50:00,22:45:00,1,UK835,UK,Vistara,10462,11891,
51,DEL,MAA,08:45:00,3,02:40:00,11:25:00,3,SG8207,SG,SpiceJet,10644,,
52,DEL,MAA,08:45:00,4,02:40:00,11:25:00,4,SG8207,SG,SpiceJet,10644,,
53,DEL,MAA,08:45:00,5,02:40:00,11:25:00,5,SG8207,SG,SpiceJet,10644,,
54,DEL,MAA,08:45:00,6,02:40:00,11:25:00,6,SG8207,SG,SpiceJet,10644,,
55,DEL,MAA,18:25:00,4,02:45:00,21:10:00,4,SG8103,SG,SpiceJet,10644,,
56,DEL,MAA,18:25:00,5,02:45:00,21:10:00,5,SG8103,SG,SpiceJet,10644,,
57,DEL,MAA,18:25:00,1,02:45:00,21:10:00,1,SG8103,SG,SpiceJet,10644,,
58,DEL,MAA,19:55:00,2,02:50:00,22:45:00,2,UK835,UK,Vistara,10644,11891,30449
59,DEL,MAA,13:45:00,2,02:50:00,16:35:00,2,UK839,UK,Vistara,10644,13090,
60,DEL,MAA,07:00:00,6,02:50:00,09:50:00,6,UK833,UK,Vistara,10644,11891,
61,DEL,MAA,07:00:00,5,02:50:00,09:50:00,5,UK833,UK,Vistara,10644,13090,30449
62,DEL,MAA,13:45:00,4,02:50:00,16:35:00,4,UK839,UK,Vistara,10644,16386,30609
63,DEL,MAA,13:45:00,5,02:50:00,16:35:00,5,UK839,UK,Vistara,10644,11891,30449
64,DEL,MAA,20:40:00,2,02:55:00,23:35:00,2,AI540,AI,Air India,10646,,30622
65,DEL,MAA,09:45:00,0,02:55:00,12:40:00,0,AI429,AI,Air India,10646,,30622
66,DEL,MAA,20:40:00,6,02:55:00,23:35:00,6,AI540,AI,Air India,10646,,
67,DEL,MAA,20:40:00,4,02:55:00,23:35:00,4,AI540,AI,Air India,10646,,
68,DEL,MAA,20:40:00,5,02:55:00,23:35:00,5,AI540,AI,Air India,10646,,
69,DEL,MAA,20:40:00,0,02:55:00,23:35:00,0,AI540,AI,Air India,10646,,30622
70,DEL,MAA,20:40:00,1,02:55:00,23:35:00,1,AI540,AI,Air India,10646,,30622
71,DEL,MAA,09:45:00,3,02:55:00,12:40:00,3,AI429,AI,Air India,10646,,
72,DEL,MAA,09:45:00,1,02:55:00,12:40:00,1,AI429,AI,Air India,10646,,
73,DEL,MAA,09:45:00,2,02:55:00,12:40:00,2,AI429,AI,Air India,10646,,
74,DEL,COK,04:55:00,0,03:20:00,08:15:00,0,AI833,AI,Air India,11740,,33138
75,DEL,COK,15:55:00,0,03:15:00,19:10:00,0,UK885,UK,Vistara,11767,14288,33150
76,DEL,COK,05:30:00,5,03:10:00,08:40:00,5,UK883,UK,Vistara,11949,14288,37281
77,DEL,COK,05:30:00,6,03:10:00,08:40:00,6,UK883,UK,Vistara,11949,14288,49863
78,DEL,COK,05:30:00,3,03:10:00,08:40:00,3,UK883,UK,Vistara,11949,14288,49863
79,DEL,COK,05:30:00,1,03:10:00,08:40:00,1,UK883,UK,Vistara,11949,16565,32966
80,DEL,COK,04:55:00,2,03:20:00,08:15:00,2,AI833,AI,Air India,11951,,33138
81,DEL,COK,04:55:00,6,03:20:00,08:15:00,6,AI833,AI,Air India,11951,,33138
82,DEL,COK,04:55:00,1,03:20:00,08:15:00,1,AI833,AI,Air India,11951,,33138
83,DEL,COK,04:55:00,5,03:20:00,08:15:00,5,AI833,AI,Air India,11951,,33138
84,DEL,COK,04:55:00,4,03:20:00,08:15:00,4,AI833,AI,Air India,11951,,33138
85,DEL,COK,04:55:00,3,03:20:00,08:15:00,3,AI833,AI,Air India,11951,,33138
86,DEL,COK,05:50:00,5,03:05:00,08:55:00,5,6E6034,6E,IndiGo,12345,,
87,DEL,COK,05:50:00,2,03:05:00,08:55:00,2,6E6034,6E,IndiGo,12345,,
88,DEL,COK,05:50:00,0,03:05:00,08:55:00,0,6E6034,6E,IndiGo,12345,,
89,DEL,COK,05:50:00,1,03:05:00,08:55:00,1,6E6034,6E,IndiGo,12345,,
90,DEL,COK,05:50:00,3,03:05:00,08:55:00,3,6E6034,6E,IndiGo,12345,,
91,DEL,COK,05:50:00,6,03:05:00,08:55:00,6,6E6034,6E,IndiGo,12345,,
92,DEL,COK,05:50:00,4,03:05:00,08:55:00,4,6E6034,6E,IndiGo,12345,,
93,DEL,COK,17:55:00,3,03:10:00,21:05:00,3,6E359,6E,IndiGo,12345,,
94,DEL,COK,17:55:00,0,03:10:00,21:05:00,0,6E359,6E,IndiGo,12345,,
95,DEL,COK,17:55:00,1,03:10:00,21:05:00,1,6E359,6E,IndiGo,12345,,
96,DEL,COK,14:55:00,0,03:15:00,18:10:00,0,I5549,I5,AirAsia India,12346,,
97,DEL,COK,14:55:00,3,03:15:00,18:10:00,3,I5549,I5,AirAsia India,12346,,
98,DEL,COK,14:55:00,1,03:15:00,18:10:00,1,I5549,I5,AirAsia India,12346,,
99,DEL,HYD,21:55:00,6,02:20:00,00:15:00,0,SG162,SG,SpiceJet,6661,,
100,DEL,HYD,21:55:00,5,02:20:00,00:15:00,6,SG162,SG,SpiceJet,6661,,
101,DEL,HYD,05:45:00,5,02:00:00,07:45:00,5,G8423,G8,Go First,6979,,
102,DEL,HYD,05:45:00,6,02:00:00,07:45:00,6,G8423,G8,Go First,6979,,
103,DEL,HYD,18:55:00,6,02:10:00,21:05:00,6,G8422,G8,Go First,6979,,
104,DEL,HYD,18:55:00,5,02:10:00,21:05:00,5,G8422,G8,Go First,7502,,
105,DEL,HYD,07:10:00,1,02:15:00,09:25:00,1,AI560,AI,Air India,9023,,
106,DEL,HYD,07:20:00,3,02:05:00,09:25:00,3,UK829,UK,Vistara,9681,10933,
107,DEL,HYD,07:20:00,6,02:05:00,09:25:00,6,UK829,UK,Vistara,9681,11959,26375
108,DEL,HYD,14:45:00,2,02:15:00,17:00:00,2,UK899,UK,Vistara,9681,10760,
109,DEL,HYD,20:35:00,6,02:20:00,22:55:00,6,UK871,UK,Vistara,9681,10760,26375
110,DEL,HYD,07:10:00,5,02:15:00,09:25:00,5,AI560,AI,Air India,9781,,
111,DEL,HYD,07:10:00,6,02:15:00,09:25:00,6,AI560,AI,Air India,9781,,
112,DEL,HYD,07:20:00,4,02:05:00,09:25:00,4,UK829,UK,Vistara,9867,10933,26375
113,DEL,HYD,07:20:00,2,02:05:00,09:25:00,2,UK829,UK,Vistara,9867,10933,26250
114,DEL,HYD,21:55:00,3,02:20:00,00:15:00,4,SG162,SG,SpiceJet,9867,,
115,DEL,HYD,21:55:00,4,02:20:00,00:15:00,5,SG162,SG,SpiceJet,9867,,
116,DEL,HYD,21:55:00,1,02:20:00,00:15:00,2,SG162,SG,SpiceJet,9867,,
117,DEL,HYD,21:55:00,2,02:20:00,00:15:00,3,SG162,SG,SpiceJet,9867,,
118,DEL,HYD,09:45:00,1,02:05:00,11:50:00,1,AI542,AI,Air India,9868,,
119,DEL,HYD,09:45:00,4,02:05:00,11:50:00,4,AI542,AI,Air India,9868,,
120,DEL,HYD,21:30:00,2,02:15:00,23:45:00,2,AI839,AI,Air India,9868,,26427
121,DEL,HYD,07:10:00,2,02:15:00,09:25:00,2,AI560,AI,Air India,9868,,26427
122,DEL,HYD,07:10:00,4,02:15:00,09:25:00,4,AI560,AI,Air India,9868,,26427
123,DEL,HYD,20:35:00,2,02:20:00,22:55:00,2,UK871,UK,Vistara,10046,10760,
124,DEL,TRV,08:10:00,5,03:15:00,11:25:00,5,UK895,UK,Vistara,13546,15966,37281
125,DEL,TRV,08:10:00,2,03:15:00,11:25:00,2,UK895,UK,Vistara,13546,16638,69590
126,DEL,TRV,08:10:00,6,03:15:00,11:25:00,6,UK895,UK,Vistara,13546,15966,37281
127,DEL,TRV,08:10:00,0,03:15:00,11:25:00,0,UK895,UK,Vistara,13546,15966,54735
128,DEL,TRV,08:10:00,3,03:15:00,11:25:00,3,UK895,UK,Vistara,13546,15966,32966
129,DEL,TRV,08:10:00,4,03:15:00,11:25:00,4,UK895,UK,Vistara,13728,15966,59049
130,DEL,TRV,08:10:00,1,03:15:00,11:25:00,1,UK895,UK,Vistara,13728,15966,37281
131,DEL,TRV,15:00:00,3,03:15:00,18:15:00,3,AI801,AI,Air India,13731,,64344
132,DEL,TRV,15:00:00,5,03:15:00,18:15:00,5,AI801,AI,Air India,13731,,33738
133,DEL,TRV,15:00:00,4,03:15:00,18:15:00,4,AI801,AI,Air India,13731,,47626
134,DEL,TRV,15:00:00,2,03:15:00,18:15:00,2,AI801,AI,Air India,13731,,33138
135,DEL,TRV,15:00:00,1,03:15:00,18:15:00,1,AI801,AI,Air India,13731,,33138
136,DEL,TRV,15:00:00,0,03:15:00,18:15:00,0,AI801,AI,Air India,13928,,33138
137,DEL,TRV,21:35:00,6,03:15:00,00:50:00,0,6.00E+155,6E,IndiGo,14124,,
138,DEL,TRV,21:35:00,0,03:15:00,00:50:00,1,6.00E+155,6E,IndiGo,14124,,
139,DEL,TRV,21:35:00,5,03:15:00,00:50:00,6,6.00E+155,6E,IndiGo,14124,,
140,DEL,TRV,21:35:00,2,03:15:00,00:50:00,3,6.00E+155,6E,IndiGo,14124,,
141,DEL,TRV,21:35:00,1,03:15:00,00:50:00,2,6.00E+155,6E,IndiGo,14124,,
142,DEL,TRV,21:35:00,3,03:15:00,00:50:00,4,6.00E+155,6E,IndiGo,14124,,
143,DEL,TRV,21:35:00,4,03:15:00,00:50:00,5,6.00E+155,6E,IndiGo,14481,,
144,DEL,TRV,15:00:00,6,03:15:00,18:15:00,6,AI801,AI,Air India,15036,,33738
145,DEL,CCU,05:30:00,1,02:10:00,07:40:00,1,G8101,G8,Go First,5218,,
146,DEL,CCU,07:00:00,6,02:05:00,09:05:00,6,SG8263,SG,SpiceJet,5424,,
147,DEL,CCU,05:30:00,6,02:10:00,07:40:00,6,G8101,G8,Go First,5607,,
148,DEL,CCU,07:00:00,1,02:05:00,09:05:00,1,SG8263,SG,SpiceJet,6280,,
149,DEL,CCU,19:30:00,3,02:25:00,21:55:00,3,SG8254,SG,SpiceJet,6280,,
150,DEL,CCU,19:30:00,6,02:25:00,21:55:00,6,SG8254,SG,SpiceJet,6300,,
151,DEL,CCU,05:30:00,3,02:10:00,07:40:00,3,G8101,G8,Go First,6499,,
152,DEL,CCU,19:30:00,1,02:25:00,21:55:00,1,SG8254,SG,SpiceJet,6580,,
153,DEL,CCU,20:15:00,0,02:10:00,22:25:00,0,AI762,AI,Air India,8709,,30742
154,DEL,CCU,07:00:00,4,02:05:00,09:05:00,4,SG8263,SG,SpiceJet,8824,,
155,DEL,CCU,07:00:00,2,02:05:00,09:05:00,2,SG8263,SG,SpiceJet,8824,,
156,DEL,CCU,19:30:00,2,02:25:00,21:55:00,2,SG8254,SG,SpiceJet,8824,,
157,DEL,CCU,17:30:00,4,02:05:00,19:35:00,4,UK707,UK,Vistara,9344,,
158,DEL,CCU,07:30:00,3,02:05:00,09:35:00,3,UK705,UK,Vistara,9344,10931,
159,DEL,CCU,06:15:00,3,02:05:00,08:20:00,3,UK747,UK,Vistara,9344,10931,
160,DEL,CCU,07:30:00,4,02:05:00,09:35:00,4,UK705,UK,Vistara,9344,10931,
161,DEL,CCU,17:30:00,3,02:05:00,19:35:00,3,UK707,UK,Vistara,9344,11050,
162,DEL,CCU,07:30:00,5,02:05:00,09:35:00,5,UK705,UK,Vistara,9344,10758,30570
163,DEL,CCU,06:15:00,4,02:05:00,08:20:00,4,UK747,UK,Vistara,9344,10758,
164,DEL,CCU,15:55:00,4,02:10:00,18:05:00,4,UK737,UK,Vistara,9344,10878,
165,DEL,CCU,20:30:00,5,02:15:00,22:45:00,5,UK727,UK,Vistara,9344,10638,30570
166,DEL,CCU,06:15:00,5,02:05:00,08:20:00,5,UK747,UK,Vistara,9523,10758,30570
167,DEL,CCU,17:30:00,5,02:05:00,19:35:00,5,UK707,UK,Vistara,9523,10878,
168,DEL,CCU,15:55:00,5,02:10:00,18:05:00,5,UK737,UK,Vistara,9523,10878,
169,DEL,CCU,20:30:00,3,02:15:00,22:45:00,3,UK727,UK,Vistara,9523,10811,
170,DEL,AMD,05:45:00,5,01:40:00,07:25:00,5,SG8913,SG,SpiceJet,4745,,
171,DEL,AMD,17:05:00,5,01:20:00,18:25:00,5,G8717,G8,Go First,5100,,
172,DEL,AMD,05:20:00,5,01:35:00,06:55:00,5,G8719,G8,Go First,5100,,
173,DEL,AMD,20:20:00,5,01:35:00,21:55:00,5,G8713,G8,Go First,5100,,
174,DEL,AMD,18:10:00,5,01:30:00,19:40:00,5,SG921,SG,SpiceJet,5653,,
175,DEL,AMD,05:45:00,3,01:40:00,07:25:00,3,SG8913,SG,SpiceJet,7192,,
176,DEL,AMD,05:45:00,6,01:40:00,07:25:00,6,SG8913,SG,SpiceJet,7192,,
177,DEL,AMD,06:30:00,3,01:25:00,07:55:00,3,UK959,UK,Vistara,7712,9075,21881
178,DEL,AMD,21:20:00,3,01:40:00,23:00:00,3,UK929,UK,Vistara,7712,10034,20383
179,DEL,AMD,21:20:00,1,01:40:00,23:00:00,1,UK929,UK,Vistara,7712,10034,24697
180,DEL,AMD,18:10:00,2,01:45:00,19:55:00,2,UK969,UK,Vistara,7712,10034,26195
181,DEL,AMD,19:00:00,5,01:35:00,20:35:00,5,AI531,AI,Air India,7825,,22593
182,DEL,AMD,06:30:00,5,01:25:00,07:55:00,5,UK959,UK,Vistara,7891,9075,23798
183,DEL,AMD,06:30:00,2,01:25:00,07:55:00,2,UK959,UK,Vistara,7891,9075,26195
184,DEL,AMD,06:30:00,4,01:25:00,07:55:00,4,UK959,UK,Vistara,7891,9075,
185,DEL,AMD,18:10:00,0,01:30:00,19:40:00,0,SG921,SG,SpiceJet,7891,,
186,DEL,AMD,18:10:00,3,01:30:00,19:40:00,3,SG921,SG,SpiceJet,7891,,
187,DEL,AMD,18:10:00,2,01:30:00,19:40:00,2,SG921,SG,SpiceJet,7891,,
188,DEL,AMD,21:20:00,2,01:40:00,23:00:00,2,UK929,UK,Vistara,7891,10034,24697
189,DEL,AMD,21:20:00,0,01:40:00,23:00:00,0,UK929,UK,Vistara,7891,10034,24697
190,DEL,AMD,21:20:00,5,01:40:00,23:00:00,5,UK929,UK,Vistara,7891,10034,22300
191,DEL,AMD,18:10:00,0,01:45:00,19:55:00,0,UK969,UK,Vistara,7891,12851,22030
192,DEL,AMD,18:10:00,3,01:45:00,19:55:00,3,UK969,UK,Vistara,7891,10034,21881
193,DEL,AMD,19:00:00,2,01:35:00,20:35:00,2,AI531,AI,Air India,7894,,21993
194,DEL,AMD,19:00:00,4,01:35:00,20:35:00,4,AI531,AI,Air India,7894,,22905
195,DEL,CCJ,17:10:00,1,03:10:00,20:20:00,1,6E5913,6E,IndiGo,10184,,
196,DEL,CCJ,05:45:00,0,03:05:00,08:50:00,0,AI425,AI,Air India,10473,,27558
197,DEL,CCJ,05:45:00,2,03:05:00,08:50:00,2,AI425,AI,Air India,10473,,27558
198,DEL,CCJ,05:45:00,4,04:25:00,10:10:00,4,AI425,AI,Air India,10473,,
199,DEL,CCJ,05:45:00,1,04:25:00,10:10:00,1,AI425,AI,Air India,10473,,
200,DEL,CCJ,05:45:00,5,03:05:00,08:50:00,5,AI425,AI,Air India,11197,,27558
201,DEL,CCJ,05:45:00,6,04:25:00,10:10:00,6,AI425,AI,Air India,11197,,
202,DEL,CCJ,05:45:00,3,04:25:00,10:10:00,3,AI425,AI,Air India,11366,,
203,DEL,CCJ,17:10:00,2,03:10:00,20:20:00,2,6E5913,6E,IndiGo,11512,,
204,DEL,CCJ,17:10:00,0,03:10:00,20:20:00,0,6E5913,6E,IndiGo,11512,,
205,DEL,CCJ,17:10:00,6,03:10:00,20:20:00,6,6E5913,6E,IndiGo,12237,,
206,DEL,CCJ,17:10:00,5,03:10:00,20:20:00,5,6E5913,6E,IndiGo,12237,,
207,DEL,CCJ,17:10:00,3,03:10:00,20:20:00,3,6E5913,6E,IndiGo,13081,,
208,DEL,CCJ,17:10:00,4,03:10:00,20:20:00,4,6E5913,6E,IndiGo,19119,,
209,DEL,JAI,20:00:00,5,01:15:00,21:15:00,5,SG2978,SG,SpiceJet,4354,,
210,DEL,JAI,20:00:00,0,01:15:00,21:15:00,0,SG2978,SG,SpiceJet,4354,,
211,DEL,JAI,20:00:00,6,01:15:00,21:15:00,6,SG2978,SG,SpiceJet,4354,,
212,DEL,JAI,20:00:00,1,01:15:00,21:15:00,1,SG2978,SG,SpiceJet,4354,,
213,DEL,JAI,21:05:00,1,00:50:00,21:55:00,1,6E698,6E,IndiGo,4751,,
214,DEL,JAI,13:00:00,5,00:50:00,13:50:00,5,6.00E+212,6E,IndiGo,4751,,
215,DEL,JAI,13:00:00,2,00:50:00,13:50:00,2,6.00E+212,6E,IndiGo,4751,,
216,DEL,JAI,21:05:00,2,00:50:00,21:55:00,2,6E698,6E,IndiGo,4751,,
217,DEL,JAI,13:00:00,3,00:50:00,13:50:00,3,6.00E+212,6E,IndiGo,4751,,
218,DEL,JAI,21:05:00,6,00:50:00,21:55:00,6,6E698,6E,IndiGo,4751,,
219,DEL,JAI,21:05:00,5,00:50:00,21:55:00,5,6E698,6E,IndiGo,4751,,
220,DEL,JAI,13:00:00,4,00:50:00,13:50:00,4,6.00E+212,6E,IndiGo,4751,,
221,DEL,JAI,21:05:00,3,00:50:00,21:55:00,3,6E698,6E,IndiGo,4751,,
222,DEL,JAI,13:00:00,1,00:50:00,13:50:00,1,6.00E+212,6E,IndiGo,4751,,
223,DEL,JAI,21:05:00,4,00:50:00,21:55:00,4,6E698,6E,IndiGo,4751,,
224,DEL,JAI,13:00:00,6,00:50:00,13:50:00,6,6.00E+212,6E,IndiGo,4751,,
225,DEL,JAI,08:30:00,4,00:55:00,09:25:00,4,6E2175,6E,IndiGo,4751,,
226,DEL,JAI,08:30:00,6,00:55:00,09:25:00,6,6E2175,6E,IndiGo,4751,,
227,DEL,JAI,08:30:00,3,00:55:00,09:25:00,3,6E2175,6E,IndiGo,4751,,
228,DEL,JAI,08:30:00,2,00:55:00,09:25:00,2,6E2175,6E,IndiGo,4751,,
229,DEL,JAI,08:30:00,1,00:55:00,09:25:00,1,6E2175,6E,IndiGo,4751,,
230,DEL,JAI,08:30:00,5,00:55:00,09:25:00,5,6E2175,6E,IndiGo,4751,,
231,DEL,JAI,07:20:00,4,01:00:00,08:20:00,4,6E7403,6E,IndiGo,4751,,
232,DEL,JAI,07:20:00,2,01:00:00,08:20:00,2,6E7403,6E,IndiGo,4751,,
233,DEL,JAI,07:20:00,1,01:00:00,08:20:00,1,6E7403,6E,IndiGo,4751,,
234,DEL,GOI,15:10:00,5,02:30:00,17:40:00,5,SG957,SG,SpiceJet,6059,,
235,DEL,GOI,12:05:00,5,02:20:00,14:25:00,5,SG8171,SG,SpiceJet,6118,,
236,DEL,GOI,10:40:00,5,02:35:00,13:15:00,5,I5552,I5,AirAsia India,7161,,
237,DEL,GOI,10:50:00,5,02:40:00,13:30:00,5,G8286,G8,Go First,7756,,
238,DEL,GOI,09:00:00,5,02:35:00,11:35:00,5,SG8211,SG,SpiceJet,8361,,
239,DEL,GOI,15:10:00,1,02:30:00,17:40:00,1,SG957,SG,SpiceJet,9986,,
240,DEL,GOI,15:10:00,0,02:30:00,17:40:00,0,SG957,SG,SpiceJet,9986,,
241,DEL,GOI,15:10:00,6,02:30:00,17:40:00,6,SG957,SG,SpiceJet,9986,,
242,DEL,GOI,22:00:00,0,02:40:00,00:40:00,1,AI883,AI,Air India,9989,,33199
243,DEL,GOI,11:10:00,0,02:40:00,13:50:00,0,UK847,UK,Vistara,10647,12670,37340
244,DEL,GOI,11:10:00,5,02:40:00,13:50:00,5,UK847,UK,Vistara,10647,12670,37340
245,DEL,GOI,11:10:00,1,02:40:00,13:50:00,1,UK847,UK,Vistara,10647,13989,61249
246,DEL,GOI,18:40:00,1,02:40:00,21:20:00,1,UK855,UK,Vistara,10647,12011,45070
247,DEL,GOI,18:40:00,5,02:40:00,21:20:00,5,UK855,UK,Vistara,10647,12011,37340
248,DEL,GOI,18:40:00,0,02:40:00,21:20:00,0,UK855,UK,Vistara,10647,12011,37340
249,DEL,GOI,22:00:00,5,02:40:00,00:40:00,6,AI883,AI,Air India,10738,,33199
250,DEL,GOI,10:45:00,5,02:50:00,13:35:00,5,AI885,AI,Air India,10738,,
251,DEL,GOI,18:40:00,2,02:40:00,21:20:00,2,UK855,UK,Vistara,10833,12011,45070
252,DEL,GOI,22:00:00,1,02:40:00,00:40:00,2,AI883,AI,Air India,10835,,33199
253,DEL,GOI,22:00:00,4,02:40:00,00:40:00,5,AI883,AI,Air India,10835,,33199
254,DEL,GOI,22:00:00,3,02:40:00,00:40:00,4,AI883,AI,Air India,10835,,33200
255,DEL,GOI,22:00:00,2,02:40:00,00:40:00,3,AI883,AI,Air India,10835,,33199
256,DEL,LKO,13:35:00,3,01:10:00,14:45:00,3,UK641,UK,Vistara,6546,8596,18885
257,DEL,LKO,13:35:00,6,01:10:00,14:45:00,6,UK641,UK,Vistara,6546,8596,18885
258,DEL,LKO,13:35:00,0,01:10:00,14:45:00,0,UK641,UK,Vistara,6546,8596,18885
259,DEL,LKO,13:35:00,2,01:10:00,14:45:00,2,UK641,UK,Vistara,6729,8596,18885
260,DEL,LKO,13:35:00,5,01:10:00,14:45:00,5,UK641,UK,Vistara,6729,8596,18885
261,DEL,LKO,13:35:00,4,01:10:00,14:45:00,4,UK641,UK,Vistara,6729,8596,16488
262,DEL,LKO,13:35:00,1,01:10:00,14:45:00,1,UK641,UK,Vistara,6729,8596,14571
263,DEL,LKO,18:30:00,6,01:05:00,19:35:00,6,AI811,AI,Air India,6730,,15343
264,DEL,LKO,07:05:00,6,01:05:00,08:10:00,6,AI411,AI,Air India,6730,,15343
265,DEL,LKO,18:30:00,4,01:05:00,19:35:00,4,AI811,AI,Air India,6730,,22488
266,DEL,LKO,18:30:00,3,01:05:00,19:35:00,3,AI811,AI,Air India,6730,,14743
267,DEL,LKO,12:20:00,3,01:05:00,13:25:00,3,AI431,AI,Air India,6730,,14743
268,DEL,LKO,12:20:00,6,01:05:00,13:25:00,6,AI431,AI,Air India,6730,,15343
269,DEL,LKO,18:30:00,5,01:05:00,19:35:00,5,AI811,AI,Air India,6730,,15343
270,DEL,LKO,07:05:00,2,01:05:00,08:10:00,2,AI411,AI,Air India,6730,,14743
271,DEL,LKO,12:20:00,2,01:05:00,13:25:00,2,AI431,AI,Air India,6730,,14743
